word, core, background
visalakshi          , 0.00010377, 6.0804e-30
arcot               , 0.00031131, 6.0804e-30
bungalow            , 0.00020754, 6.0804e-30
greams              , 0.00050681, 6.7859e-05
thamari             , 0.00010377, 6.0804e-30
thirunillai         , 0.00010377, 6.0804e-30
fci                 , 0.00021091, 5.8832e-05
rto                 , 0.00051885, 6.0804e-30
squirrels           , 0.00010377, 6.0804e-30
midnight            , 0.00010377, 6.0804e-30
singaravelu         , 0.00020754, 6.0804e-30
tharapakkam         , 0.00010377, 6.0804e-30
karanodai           , 0.00010377, 6.0804e-30
vaniar              , 0.00010377, 6.0804e-30
bus                 , 7.6392e-09, 0.0052291
kolathur            , 0.00051748, 6.1609e-05
mahatma             , 0.00031131, 6.0804e-30
rbi                 , 0.00010377, 6.0804e-30
barathi             , 0.00015719, 0.00021192
amethyst            , 0.00010377, 6.0804e-30
olympia             , 0.00010377, 6.0804e-30
alapakkam           , 0.00020754, 6.0804e-30
muthukrishnan       , 0.00031131, 6.0804e-30
viyasar             , 0.00010377, 6.0804e-30
devar               , 0.00010377, 6.0804e-30
top                 , 0.00010377, 6.0804e-30
cargo               , 0.00020754, 6.0804e-30
panjali             , 0.00010377, 6.0804e-30
ramalinga           , 0.00010377, 0.00012161
punjabi             , 0.00020754, 6.0804e-30
christian           , 0.0001244, 0.00035273
manikam             , 0.00010377, 6.0804e-30
kannadapalayam      , 0.00020754, 6.0804e-30
finance             , 8.3343e-29, 0.00018241
gowdia              , 0.00010377, 6.0804e-30
e4e                 , 0.00010377, 6.0804e-30
box                 , 0.00020754, 6.0804e-30
v                   , 0.00032911, 0.00023279
deshmukh            , 5.1885e-05, 3.0402e-05
godhavari           , 0.00010377, 6.0804e-30
sa                  , 0.00010377, 6.0804e-30
kalavai             , 0.00010377, 6.0804e-30
infocity            , 1.0377e-29, 6.0804e-05
23rd                , 0.00041508, 6.0804e-30
snacks              , 2.3337e-22, 0.00024322
jawaharlal          , 2.4115e-24, 0.00036482
sadaiyappan         , 0.00010377, 6.0804e-30
commerce            , 0.00010377, 6.0804e-30
anbazhaan           , 0.00010377, 6.0804e-30
kushaldas           , 0.00010377, 6.0804e-30
parameswari         , 0.00041508, 6.0804e-30
kuppuswamy          , 0.00020754, 6.0804e-30
thangappa           , 0.00010377, 6.0804e-30
playing             , 0.00010377, 6.0804e-30
dynamics            , 4.8861e-09, 0.00012161
iit                 , 0.00042573, 0.00023698
pvt                 , 9.1929e-28, 0.00091206
mohiadeen           , 5.1885e-05, 3.0402e-05
mukki               , 0.00010377, 6.0804e-30
tandavaraya         , 0.00010377, 6.0804e-30
ilango              , 0.00010377, 6.0804e-30
thirumangai         , 0.00010377, 6.0804e-30
srinivasapuram      , 0.00020754, 6.0804e-30
kanappan            , 0.00020754, 6.0804e-30
lankan              , 5.1842e-05, 3.0427e-05
wallers             , 0.00051885, 1.9882e-12
eachankadu          , 0.00010377, 6.0804e-30
donalds             , 0.00010377, 6.0804e-30
reservation         , 0.00010377, 6.0804e-30
velacheri           , 0.00010377, 6.0804e-30
spritle             , 0.00010377, 6.0804e-30
kim                 , 5.1885e-05, 3.0402e-05
thiruneelakanda     , 0.00010376, 4.3474e-09
akbarabad           , 0.00020754, 6.0804e-30
turbines            , 3.459e-05, 4.0536e-05
linghi              , 0.00010377, 6.0804e-30
ibis                , 1.0377e-29, 6.0804e-05
balaiah             , 0.00010377, 6.0804e-30
paramshiva          , 0.00010377, 6.0804e-30
kalamegam           , 0.00010377, 6.0804e-30
soundarya           , 5.1251e-05, 3.0773e-05
ravelin             , 2.775e-05, 0.00016615
vegetable           , 4.1139e-09, 0.00030402
pandiyan            , 0.00020754, 6.0804e-30
c3                  , 0.00010377, 6.0804e-30
freeze              , 0.00010377, 6.0804e-30
rest                , 0.00010377, 6.0804e-30
globus              , 0.00010377, 6.0804e-30
madambakkam         , 0.00010377, 6.0804e-30
mettukuppam         , 0.00031131, 6.0804e-30
teashop             , 0.00010377, 6.0804e-30
russian             , 0.00020754, 6.0804e-30
chats               , 0.00010372, 3.0074e-08
meerali             , 0.00010377, 6.0804e-30
bluelace            , 5.1885e-05, 3.0402e-05
amritham            , 5.0327e-05, 3.1315e-05
subramanian         , 0.00031131, 6.0804e-30
drop                , 4.9806e-05, 3.162e-05
thilagar            , 0.00020754, 6.0804e-30
iitclri             , 0.00010377, 6.0804e-30
puthu               , 0.00010377, 1.297e-14
pazhamuthir         , 0.00010377, 6.0804e-30
thandai             , 0.00010377, 6.0804e-30
nuclear             , 0.00020754, 5.7841e-16
emu                 , 6.6204e-23, 0.00024322
raphaels            , 0.00010377, 6.0804e-30
